prompt,response
Does this make a sound when it's plugged in? (For example a whirring noise),"Yes, however it will be a little loose but nothing major."
"I want to use this on my hood,but be able to take it off and reapply it.How many times can this be done.Thanks",Yes. That is what i have and use it on. Very good product.
Does it fit 1998 mustang v6 stock shifter,"It fits tight on a 235/75R15 so I don't think you would be able to get it on a 16"" tire"
will this fit a golf gti 2013?  thanks,"Yup, it will fit nicely"
"I first put my vehicle info and it said FIT , so I ordered them , now it's says this product will not fit . I have a2008 F150 FX2, thanks",Fits my 29 in.  spare gpod and tight.
I may have missed this.. but what are the overall physical dimensions of the readout unit... Thx,"this is the one that fits 27""-29"""
My car seat has a built in seat belt on the side closest to the door that runs through the seat.  Do these seat cover accomodate this?,Only the inset is sheepskin.   The rest is faux sheepskin.   It really isn't very clear in the description.  Mine lasted two months before the stitching between the real sheepskin and faux sheepskin started to some undone.  These are very poor quality.
75mm or 65mm diameter?,"I would not recommend this --- it is cheap, looks cheap, feels cheap and does not feel like sheepskin."
Will this fit my 2005 Ford F150 XL Triton,only the center section is sheep skin the outer edges are fake
Would these work on the SXT?,"This is real sheepskin, very thick and comfortable."
how many ignition coil. one or six?,Was not good quality.  Had holes in where none should have been.  if they were authenic they were poor quality
Do I need a spring compresser to install these?,They aren't the greatest.  I got them as an opened item for cheap.
do these brushes fit on drills?,They were okay for the money spent.
will this mat fit a 2008 ford escape xls with a manual tranny?,It's all polyester and it's not incredibly thick.  It's not high-quality but I don't feel like I got super cheap goods either.  Just don't expect too much.
is this front left and right set,It should. They did in my ford explorer.
I want to put a kit in my 2004 dodge ram 1500 will this kit work for me!,Mine are the same sheepskin front and back. There is also a nice storage pocket with a drawstring across the back just below the headrest area. They are a perfect fit on my jeep seats. Enjoy!
Will this fit a 2013 3.6 challenger?,This covered my bucket seat with attached headrest (Honda Prelude) with no problems.
"can you charge it connecting the usb cable to the computer, it suggests a 3 hour initial charge and im not in the car that long","Yes, it will cover head rest in down position."
Would it be safe it put two kayaks on here with J-racks??,"I don't know.  Compare to a 2005 Toyota Prius, for which I bought them, and they fit very nicely overall as well as over the head rests."
will these fit a 2011 triglide flhtcutg,Sorry I really don't know. I got them for a ford exposition.
will they fit on a Kawasaki klr 650? thanks,I do not know. We used it on a Toyota Venza.
I know 3757 is not in the description but i cant seem to find 3757 in dual amber white.Would this work for 2005 Pontiac grand prix gt?,Mine was for high back seats on a VW so possibly.
"i would like to use these brushes to clean my swimming pool tile, it has a buildup of mineral deposits, will these brushes do the job?","In case you did not read my review of these seat covers, they are of terrible quality and will not fit on any new car with large bucket seats.  Don't ruin your Audi A6 by putting seat covers on it, especially these.  They are cheap as they come."
Does the gauntlet close-up,"This is 2"" pipe thread"
Stanley FatMax Professional 1000 Peak Amp Power Station w 500W Inverter PPRH5KL sold by QVC.  What is difference or descriptions of same product.,"It is standard 2"" pipe thread."
Anyone know the difference between this product and the Crown# 82208300K kit besides the fact that one is MOPAR and the other is less expensive?,It's a standard 2 inch pipe thread not sure how many threads per inch that is but it's definitly not fine or metric
does this fit 2009 toyota cam ry,"I returned them. I ordered them for a truck, I mean a big truck that neads CDL, but they are for a small truck. They are very good manifactured and a high quality product.  You can order them and return them if they do nof fit."
what color is this tray?,"Milton, The thread to thread measurement is really not important to know. If you must though, the Stant #10413 Fuel Cap is intended for use on male pipe thread 2"" nominal inside diameter. According to the National Pipe Thread Taper (NPT) Charts, a 2"" nominal pipe thread has 11-1/2 threads per inch. The best way to determine if this fuel cap will fit your tank is to go to Home Depot or Lowes or Plumbing Supply house and buy a white plastic or steel (black iron or galvanized) 2"" diameter cap or coupling. If the cap or coupling fits the male nipple inlet on your fuel tank to your satisfaction, then buy the 10413 Fuel cap. I have bought 2 of these caps for our Bobtail trucks (40-50 gal tanks) and they work perfectly. Tom



    Milton, The thread to thread measurement is really not important to know. If you must though, the Stant #10413 Fuel Cap is intended for use on male pipe thread 2"" nominal inside diameter. According to the National Pipe Thread Taper (NPT) Charts, a 2"" nominal pipe thread has 11-1/2 threads per inch. The best way to determine if this fuel cap will fit your tank is to go to Home Depot or Lowes or Plumbing Supply house and buy a white plastic or steel (black iron or galvanized) 2"" diameter cap or coupling. If the cap or coupling fits the male nipple inlet on your fuel tank to...
      » 
Read More


   Milton, The thread to thread measurement is really not important to know. If you must though, the Stant #10413 Fuel Cap is intended for use on male pipe thread 2"" nominal inside diameter. According to the National Pipe Thread Taper (NPT) Charts, a 2"" nominal pipe thread has 11-1/2 threads per inch. The best way to determine if this fuel cap will fit your tank is to go to Home Depot or Lowes or Plumbing Supply house and buy a white plastic or steel (black iron or galvanized) 2"" diameter cap or coupling. If the cap or coupling fits the male nipple inlet on your fuel tank to your satisfaction, then buy the 10413 Fuel cap. I have bought 2 of these caps for our Bobtail trucks (40-50 gal tanks) and they work perfectly. Tom
      « 

Show Less"
Will this work with a 2011 4Runner?,"It's 2"" npt."
Do these tires fit on a 08 sti,"The best I can tell you is it fits a standard 2"" pipe thread.  If a 2"" cap will screw onto your opening then this fuel cap will.  Hope this helps."
is this the exact seat that we will receive if we purchase it?,Yes.
Does this fit an Acura TL 2001?,sorry i dont have tool to do that
Is this a set?,"I have no way to know if the Stant 10413 cap fits the diesel tank on your truck. What I know for sure is this cap fits on 2"" diameter NPT (Nat'l Pipe Thread) male nipple typically welded to diesel tank for filling purposes. What I did to confirm the 2"" size on our truck tank was go to Home Depot (or Lowes or Orchard) and buy a 2"" white plastic cap (or coupling) with the NPT threads. Less than a dollar. If the 2"" NPT cap easily threads on your tank fill nipple, then order the Stant cap. It works well for us, has a key lock tab that presses against the inside of nipple wall."
i have a john deere rx-75. Will this work on my mower?,Idk
Is this CES compatible with SAE quick connect?,The cap thread fits 2 1/2 inch outside diameter pipe. ...i used it on a an 1992 Isuzu box moving van. ...
will this fit my 2013 550 2up sportman,"Not sure. I believe they are standard 2 1/2"" pipe thread"
Will these tail lights fit a 2013 dodge ram 2500?,You would have to send me a picture of the tank and the diameter of the neck. I need this to determine if the cap will fit in the location
Will this fit a 2013 Sportsman 550 EPS?  Thank you!,"Yes this is normal. In the industrial world most things are keyed the same by brand. I.E. Most Case equipment uses the same Case key, Caterpillar equipment uses a cat key. Ect."
"I have a 2012 Tacoma access cab. will these work for my vehicle, or should I look for a different model?","No - it is not normal. Hopefully that is not a problem, usually if you ordered two they would have different locks/keys."
"do the back seat covers have slits for seatbelts? also, my middle in my back folds down as a cup holder, do the covers allow it to fold down?","I don't know if it's normal or not but I did the same thing; two separate orders, two different times, same key."
My KLR650 is a 2012.  The ad says it fits 08-11.  Does it also fit 2012?,"Its been my experience that no, they are not all of the same keys."
"I have a 2005 Gulfstream Class C, is there a center bracket on this product?",I'm guessing that they must. I ordered three at the same time and they all had the same key as well.
works for corolla LE 2009?,"I only have one of these caps, so cannot compare mine with yours. I have seen other locking caps sold with the same keys. Just check in your local auto store. Typically, these locking caps are designed to make it easy for fleet services to all have access to the tanks for refueling so are same-keyed. The locks are for keeping the BG's out of our fuel, and they're not supposed to be on Fleet Team."
Will this work for a 2015 pilot?,"Barak, I don't know if the Stant 10413 cap fits the diesel tank on your International truck line. What I know for sure is this cap fits on 2"" diameter NPT (Nat'l Pipe Thread) male nipple that is typically welded to diesel tank for filling purposes. What I did to confirm the 2"" size on our truck tank was go to Home Depot (or Lowes or Orchard) and buy a 2"" white plastic cap (or coupling) specified with the 2"" NPT threads. Less than a dollar. If the 2"" NPT cap easily threads on your tank fill nipple, then order the Stant cap. It works well for us, has a key lock tab that presses against the inside of wall of pipe. I did have to sand the lock tab down a bit to allow the key to turn all the way for tight fit. Depends on thickness of your pipe wall. Hope this helps.



    Barak, I don't know if the Stant 10413 cap fits the diesel tank on your International truck line. What I know for sure is this cap fits on 2"" diameter NPT (Nat'l Pipe Thread) male nipple that is typically welded to diesel tank for filling purposes. What I did to confirm the 2"" size on our truck tank was go to Home Depot (or Lowes or Orchard) and buy a 2"" white plastic cap (or coupling) specified with the 2"" NPT threads. Less than a dollar. If the 2"" NPT cap easily threads on your tank fill nipple, then order the Stant cap. It works well for us, has a key lock tab...
      » 
Read More


   Barak, I don't know if the Stant 10413 cap fits the diesel tank on your International truck line. What I know for sure is this cap fits on 2"" diameter NPT (Nat'l Pipe Thread) male nipple that is typically welded to diesel tank for filling purposes. What I did to confirm the 2"" size on our truck tank was go to Home Depot (or Lowes or Orchard) and buy a 2"" white plastic cap (or coupling) specified with the 2"" NPT threads. Less than a dollar. If the 2"" NPT cap easily threads on your tank fill nipple, then order the Stant cap. It works well for us, has a key lock tab that presses against the inside of wall of pipe. I did have to sand the lock tab down a bit to allow the key to turn all the way for tight fit. Depends on thickness of your pipe wall. Hope this helps.
      « 

Show Less"
ship in italy?,YES
Will these fit a corolla 2013..?,No
Will this fit on a 2008 Honda 500 foreman?,Yes
Does anyone knows if it fits a Ducati Monster 1100 S 2011???,No
"Will this item fit a 1999 Chevy Prizm, which is the same as the Corrolla?",Yes
My travel trailer tires require 65 lbs/psi. What will this unit display if used on tires >60 psi? Can it be set to alert (beep/flash) if psi falls below 60psi?,No
Someone just gave us the Peg Perego IGOD0516US Polaris Ranger RZR. Will this charger work out of the box with the 24-volt battery connection?,"I put these on a International 7400 with 2 1/2"" necks and work great. Not sure about your model. Hope this helps."
What color is the floor liner set?,Yes sir it is very very good and it does it's job still as of right now.Thanking.
Does this work for a Ford 2004 F150 Lariat Rear Passenger door???,"I returned them because they do not fit my husband's truck Volvo, but they really look very well. I do not know what  fuso fm260 is."
all necessary bulbs are included?(low and high beams)?,sorry don't know
Can this tool reset Check Engine Light for 1999 Infiniti I30,"I don't know, but you can order them and try them by yourself as I did. It was free."
"I have a 2003 vw golf gti 20th anniversary, I am curious if this kit will fit it? does it come with all the parts for replacing the rotors and pads?","This is a commercial saddle truck tank locking fuel cap, in other words NO"
are the rotors made in china?,2 keys
I own a 2007 FJ Cruiser...  I would like to know if these will fit as well as the stock set?  Do the included clips fit?,You get 2. I did not install mine if you want it at a reduced price.
Does this fit a 2013 Honda Civic Sedan?,bsolutely not the new keys have to be programmed to the car if you attempt to start the car with the new keys without programming it double trip the security mechanism in your car and you will no longer be able to start it at this point you will have to pay for A tow to get the car to the dealership to have the new keys program
HOW DO i FIND MY SIZE,No It wont work.  you will be money ahead to go to ford dealer let him change it and reprogram new key
will this work with a roller cam?,No! I took it a lock  to a lock smith and he try to program the keys but they were not programmable. Also I took the keys to the Ford dealer wanted $300 but I think he just wanted to put in a new switch.
"Hello, will it fit my 1999 Forester?  Thanks PD","I just use it as is, and never dilute it. I spray it, use a metal brush to rub it in and around a bit, hose it off, and like magic, most if not all of the driveway oils stains are gone. Just do not metal brush it too much and take the cement top coat off, so the cement ends up grey."
Will this work with a 2007 Jeep Wrangler with rear mounted spare tire?,I don't dilute it.  it works excellently just the way it is.
Does this rack fit on a 4-dr 2005 Toyota Camry?,"i didn't see that you had to dilute this stuff so i used it right out of the bottel, didn't do jack for what i wanted it to do. gave it to the wife for grease spots didn't do any good there either. won't buy anymore of this dkljgod."
What are the dimensions of this item?,It doesn't work.  Don't bother.
What is the power consumption  and how may lumens do they put out?,"didn't try it on that, just on cement for transmission fluid and it didn't work..."
I am comparing this product against the Chemical Guys Instawax and Carnuba.  Has anyone compared and what would you recommend?,I DON'T KNOW! But when i need a gentle but effective degreaser i now use DAWN DISH SOAP it's gentle enough for oil spill damaged waterfowl it probably won't damage wood and it cuts grease on dishes really well
is this the drivers or passengers side,I do think a diluted mix would work.   It is really powerful stuff.   I would follow directions on bottle and try a Small corner first but I think it would work
I have a 17 year old washing machine.  The trunnion is rusted solid to the shaft.  Will this product penetrate severely rusted parts?,I ve never tried but if it has a greasy consistency I would assume it would.  Truly amazing stuff and good to have around in case of emergency
r these hi beam & low beam combined?,I only used it for cleaning oil off the driveway. But the way it worked I feel it may remove just about anything you spray it on. Might be worth a try.
how many mount kit is in this order i saw a installation video on youtube that says that we need 6 of them?,Yes
how thick is it?,Yes
Will this product set off the check engine light?,Yes
what are the demensions,"No, I have not. I used it for concrete, and it did not work. My best option to date has been vinegar. It will take grease out of almost anything."
Will this  fit the new 500 Fiat ?,you have to use  diluted solution immediately to get oil or stain out
Tire Does the tire come with the rim as in the photo?,"HI --I use it for everything.--it is the best all-around cleaner for everything I can find-.   Some people dilute the liquid for laundry---I don't,  I spray right on the stain--or stains.  No need to leave it on for a bit-like oxy .  You will find your niche. but it is a GREAT  cleaner for everything---J"
Is this a 4 ply tire,"I have never used it for this purpose, but upon re-reading the bottle I would presume it would be like using any presoak treatment.  I have used for removing dirt and great from metal, plastic, etc. and it's great.  Hope this helps!"
dimensions,I'm not guaranteeing anything..but I did get really old stains off...Not completely but way better than before...
"2028C would not fit my 275-60-20 tires,  what is the next size larger chain??",Not sure on some that old. But it works well and I think it is worth the try. Mine was on cement so asphalt could be a problem.
what size is this helmet,"Not sure. I used it on concrete, and it did not work to remove grease stains, so I went with good ole vinegar. It ate the grease right off, and is safe for my family."
Does this fit the right hand driver Australia built VW Passat Wagon MY13.5?,I used it on my 95 Honda civic engine.  It broke up the grime and grease and didn't harm anything.  It worked pretty good.
will  this fit a wagon,"Works great on our boat, everything in my food cart. Stuff is amazing. I think give it a try. If it turns out not right for boat engine its got 1000 other uses. I just cleaned a horrid grease caked vernt hood with it in minutes"
will tow ready 118491 t-one work on a 2013 honda pilot without any extra wiring,Yes
Do these struts work on a 1999 Toyota Camry LE (4cylinder engine)?,"Yes, 1/2"" all three."
"What size are the two balls, 1 7/8","The female port is called the common port and is labelled with a ""C"".  If your intended use is to divert from one port to either of the other two, the intended application, then you must use the female as the inlet.  However, the valve could be used in a reverse application where both male ports are used as inlets, and the female becomes the outlet. For example one male could be connected to a cold water supply, and the other male could be connected to a hot water supply.  Handle in one position sends cold to the female port, while in the other position it sends hot.  It would not be a good mixer valve since one male is nearly closed before the other starts to open.  The common port is never closed.  Each of the male ports are alternately closed depending on handle position.



    The female port is called the common port and is labelled with a ""C"". If your intended use is to divert from one port to either of the other two, the intended application, then you must use the female as the inlet. However, the valve could be used in a reverse application where both male ports are used as inlets, and the female becomes the outlet. For example one male could be connected to a cold water supply, and the other male could be connected to a hot water supply. Handle in one position sends cold to the female port, while in the other position it sends hot. It would not be...
      » 
Read More


   The female port is called the common port and is labelled with a ""C"".  If your intended use is to divert from one port to either of the other two, the intended application, then you must use the female as the inlet.  However, the valve could be used in a reverse application where both male ports are used as inlets, and the female becomes the outlet. For example one male could be connected to a cold water supply, and the other male could be connected to a hot water supply.  Handle in one position sends cold to the female port, while in the other position it sends hot.  It would not be a good mixer valve since one male is nearly closed before the other starts to open.  The common port is never closed.  Each of the male ports are alternately closed depending on handle position.
      « 

Show Less"
Is it possible to talk without press the PTT? like a headset with VOX?,Female in. Male out.
how does it fit on the lifts that have a center post?,yellow brass body. We just closed our trailer for season  and it was the easiest ever with these valves
Does it come with all 4 pieces?,"I would say it's brass. Or brass like. What it really is, I am not sure."
Is the decal too large to fit on the lid of my 3ds (not xl)?,I would say Yellow Brass.
How do you install this item?,"OD of the male parts is approximately 0.80 in. Female part is 1 in on the ""square"" side and 1.12 in on the chamfer (but I don't think you care about those)."
Does it provide Transmission fluid temperature reading?,i installed it last winter. if my memory is corect its half inch pipe thread. on the female end as well as both male ends.
Will these fit a BMW 335i Coupe 2007?,sorry i cant help you with what the internal specks are. but it works great to by pass the hot water tank in my camper.
Was this bumper glossy black or matte black? Can't tell from pic. Is it textured? Thanks,"I'm guessing brass.  Just an open close valve, doesn't seem complicated to me."
"what size should I get for 10 yr old daughter, her head measures 22""?",It could be used as a mixing valve but I am not sure you will get full flow.
can I install this windshield with my existing quick removable brackets to a HD 2002 Dyna Low Rider ?,"No one to either other one but not both at same time. a simple ""T"" would do what you want"
Is this one headlight or a pair?,"No, that would just be a T fitting.  A bypass valve is to allow the selection of which outlet pipe the input flows to."
will these fit the 2000 lancer model?,"no, ball valve bypass.only 1 at a time"
Are these for trucks that are 4 by 4?,"The purpose is to flow each male separately to female depending on valve handle position.  If you are wanting to use it as a manual mixing valve then half way on the handle will cause both males to flow to the female at the same time, but the flow rate from either male is much reduced.  The combined flow may be significantly less than either one by itself.  One male is not quite shut off before the other opens."
Do they fit and are they brighter than oem on 2005 Honda Accord?,"It's one or the other. You could move it just partly open to get some water from both, but then both inlets would then be very restricted."
electrical hookup?  how?,I would have to see diagram of what you are trying to do
Does this fit a 2013 rogue?,It will only drain one way at a time. You must manually turn to drain whichever line you want
Will this fit on a 2014 Civic Si Coupe?,"Hi Deborah,  The rest of the RV plumbing will work just as before switching to bypass.  You will need to drain the water tank after making sure that you have turned off your electrical element by turning off the switch or tripping the Water Heater circuit breaker. The low point drains should work just as before and you need to open your hot and cold valves on all of your faucets until all the water has drained out of the low point drains.  Once the water is all out of the low point drains and your water heater. close the low point drains, close all the faucets, and charge the system with RV antifreeze opening one faucet (including the commode) at a time until you see the pink  liquid then close the valve.  Dump the excess antifreeze into each sink and the toilet after all the outlets of the sinks, outside shower, inside shower have been charged with antifreeze.  Use the RV's water pump inlet to suck the antifreeze from the container to charge the lines.  Most RV's will need three gallons or less.



    Hi Deborah, The rest of the RV plumbing will work just as before switching to bypass. You will need to drain the water tank after making sure that you have turned off your electrical element by turning off the switch or tripping the Water Heater circuit breaker. The low point drains should work just as before and you need to open your hot and cold valves on all of your faucets until all the water has drained out of the low point drains. Once the water is all out of the low point drains and your water heater. close the low point drains, close all the faucets, and charge the system with RV...
      » 
Read More


   Hi Deborah,  The rest of the RV plumbing will work just as before switching to bypass.  You will need to drain the water tank after making sure that you have turned off your electrical element by turning off the switch or tripping the Water Heater circuit breaker. The low point drains should work just as before and you need to open your hot and cold valves on all of your faucets until all the water has drained out of the low point drains.  Once the water is all out of the low point drains and your water heater. close the low point drains, close all the faucets, and charge the system with RV antifreeze opening one faucet (including the commode) at a time until you see the pink  liquid then close the valve.  Dump the excess antifreeze into each sink and the toilet after all the outlets of the sinks, outside shower, inside shower have been charged with antifreeze.  Use the RV's water pump inlet to suck the antifreeze from the container to charge the lines.  Most RV's will need three gallons or less.
      « 

Show Less"
This price is for a pair or only for 1 piece?,"Yes, these springs will fit the 2007 STi."
Will this work on a nissan cube?,Put them on mine....easy spring swap
Will a valet key start the car?,"Hi, these are stock photos only so it may look like it but not for sure. I apologize"
Will it work with presta valves?,The best thing to do is check the application guide on the item's webpage.  You can also contact us directly with all of your vehicle information so we can help you order the correct part number.
Can this fit into my 2004 range rover please,"Hi, the description just says ""intermotor horn"" we are not professionals so we do not know where it would go.  But I would think it replaces your actual horn for the sound. Thank you!"
we bought a wrench cap but it did not FIT in order for this to be REMOVED!!!!!! what Wrench tool are you using to REMOVE this filter??,I was able to find this information online.  You may want to double-check with either your mechanic or your dealer.The horn fuse and the horn relay are in the left front under hood fuse/relay box.This is a location diagram and the inside of the box. Sorry about the size of the diagrams. They don't allow us much space here. The fuse and relay should be marked in the fuse box lid.Here is a wiring diagram just in case you need it.
wILL THIS FIT ON THE REAR TIRE OF MY 2013 NINJA 636?,"I took a small flathead screwdriver and carefully pried the socket from the wiring clip. It popped right out, and the new one pushed on easily. You can see how it matches up. Just be careful to do it gently so you don't break it off. Mine was a perfect fit, so you shouldn't have any problem."
can it be used on a fiberglass tub/shower?,"It was easy. just take the bulb out then there are 2 plastic clips holding the socket to the wiring. Unplut the old socket, plug the new one in, replace the bulb."
Will I need 2 purchase any additional small parts that would work with this kit. Or parts that usually go bad on the suspension,There is no trick. Just remove the clip from the wiring and unplug and plug in the new one.I was able to do it with my fingers only. You could use a flat had to assist with the clip
Will it fit 2009 TL with stock wheels?,long needle nose pliers  turn  'clockwise if  I remember right'
"do all 3 of the pins come with this, including the top one and also the pin end connectors",I did it the same way the others did. I just used my fingers. It was pretty easy to remove.
Will this work on a 2001 Xterra?,there is usually a small plastic tab on the wire coming from the car that locks into the new socket. you have to gently pry it back with a screw driver. also it you live in the north and it is cold out be very gentle. they can break off rather easily. also you should use a small amount of dy-electric grease between the bulb and the socket to prevent an electrical arc. which is likely why it burned out in the first place.
iam 5.6 what is the diferents between the krome werks model handlebas 300042 and 300043 will they both fit my 07 roadking with stock cables,"Without knowing for sure, I would most likely answer yes.I would think that this socket was used in several year models."
Does this fit on any steering wheel? I'm a truck driver.  Will this fit on a big steering wheel?,"According to the Amazon part checker it does. Click on the item, top of the screen says make sure it fits, select year and make. It says it does."
Will it fit the 2009 hybrid highlander?,i did a parts search for your 2000 buick regal ls. it shows that it will fit your car. only takes a minute to replace.
Fit 14 Chevy Cruze?,You would need to check which one your car uses specifically. This car is on the list for this socket: 2000 BUICK REGAL V6-3800 3.8L
"hi there  i  would  like to buy this tires , but  not sure  if they will fit  my  truck?",yes it does fit also fits 98 buick century custom
Can this device be programmed by a locksmith,According to information that I found on eBay regarding this exact product .. YES  ..  it should fit.  If you haven't ordered it already you can research it online to confirm further.  Hope this helps you.
Will it work for a 2012 Hyundai Accent?,"This should not be used for automotive tires. It's designed for motorcycle, bicycle tires and is designed small because motorcycles dont have much room.  Your car should not be so crowded that you need a pump this small.  For another 20$ at sams club you can get a self contained battery jump box, pump, light system that is simply impractical for motorcycles."
Would this fit on the 2013 model?,"i use it for my motorcycle tires.  just takes a couple of minutes! works get, always have one with me!"
"what is the class, the size  & the part number of Ball Mount and Draw Bar ? i prefer to buy it from amazon",I take it my car in case of emergency
#NAME?,Patience.... it will do it but is made for smaller tires like motorcycles.
Will this fit the new 2014 Soul?,Its a motorcycle pump....
Will my 5 inch gps fit in the big widow pocket?,"No, but it does come with a separate pressure gauge."
is this two leafs to complete the rear or just one side?,"No, it does not. However, I have gone through a great many tire inflators to get the correct one for my Harley. By far the best I have found."
will these fit 2013 Harley dyna switchback?,nothing you have to carry a pressure tester for the air pressure in the tire no big deal
"Does this bulb have a swivel base? (i.e. once the base is plugged into the socket, can the LED still rotate 360-degrees, independently of the base?)",No. Even if it did most inflators are very inaccurate. No substitute for a good tire gauge. This inflator is bottom of the barrel junk.
does it come with a wiring harness and switch?,the CFM for this product is .850 CFM and sombody asked about the amps and it is 15 amps power rating.
does this blower have a plug attached to it?,I don't know what the spec is but it will trip a 10 amp circuit on a BMW motorcycle equipped with the Canbus. It will run for a few seconds and then kick off. I had to wire a plug to the battery for this and other accessories.
will it fit a 2007 ford mustang?,"This pump requires a 15 AMP circuit on your motorcycle.  It surges to 15amp when you turn it on, then drops back to 5amp.  If you plug it into a 5amp circuit, it will immediately blow the fuse."
Can this be used with a six speed manual,It runs on my Harley Canbus fine.   Straight out of the cigar lighter port.  Never had a problem airing tires on the many road trips I take.  Loaned it to my friend with a gold wing and it worked great.
Will these fit a 2012 Chevrolet Equinox?,Not exactry sure but rated at 15 amps on the box.
so what is the consensus?  Does this fit a 12 charger?,Absolutely
will it fit my 2004 Honda Sabre?,Yes I use it for my Harley and my ATV. It is compact  for storage and works great.
how many microns does this unit pull?,"Hi, I've already used for my bicycle, motorcycle and car. But, it was not made for frequent use and if it use continuously for more than 5 minutes, it will get hot."
does this fit the 2015 honda Fit?,Absolutely. Best little compressor I have ever had and have had many.
"Won't this actually reduce the little space that is under the rear floor, by adding a layer of carpet? So I am  trading space for nonskid/padding?","It will work for bicycle tires.  I don't think it will work on anything without a Schrader valve like a car, motorcycle, or bicycle.  There is no needle adapter.   I always used a hand pump for atheLetic eq."
Will this product and it's software operate on an Apple Macbook Pro computer?,Absolutely 100%. I have had it for just about a year and I love it.
will these fit 2014 S500,Yes
"Will these fit in my Bull Bar? The bull bar states will accomodate 6"" lights but will not fit, per manufacturer.",Yes. The hose is too short. Not a good quality inflator.
Does the carrier come with the straps or do you have to buy them separately?,"I'm not sure about typical ATV storage. My ATV only has a narrow tube big enough for some wrenches and screw drivers. I find 4x4 models to have more storage options. Product Dimensions: 2.6 x 6.6 x 6.8 inches; 8 ounces. I Cary mine in this small backpack.....it's actually a camelbak with a couple of small pouches on it. I can't really think of anything comparable in size. Id say if you could fit a brand new roll of duck tape in your storage compartment......this would fit.......only this is square of course. Hope this helps. You won't be disappointed with this product......especially id you need it on a trail some day.



    I'm not sure about typical ATV storage. My ATV only has a narrow tube big enough for some wrenches and screw drivers. I find 4x4 models to have more storage options. Product Dimensions: 2.6 x 6.6 x 6.8 inches; 8 ounces. I Cary mine in this small backpack.....it's actually a camelbak with a couple of small pouches on it. I can't really think of anything comparable in size. Id say if you could fit a brand new roll of duck tape in your storage compartment......this would fit.......only this is square of course. Hope this helps. You won't be disappointed with this product......especially id you...
      » 
Read More


   I'm not sure about typical ATV storage. My ATV only has a narrow tube big enough for some wrenches and screw drivers. I find 4x4 models to have more storage options. Product Dimensions: 2.6 x 6.6 x 6.8 inches; 8 ounces. I Cary mine in this small backpack.....it's actually a camelbak with a couple of small pouches on it. I can't really think of anything comparable in size. Id say if you could fit a brand new roll of duck tape in your storage compartment......this would fit.......only this is square of course. Hope this helps. You won't be disappointed with this product......especially id you need it on a trail some day.
      « 

Show Less"
Is this a replacement cover that has the three clips to snap in with or does is use double sided tape and go over the original?,Product Dimensions 2.6 x 6.6 x 6.8 inches
I want to a painless install on my 2007 f150 xlt will this work?,"There should be no reason it would not fit, all though I don't own a grizzly. I wired my own standard power outlet on my KLR650 and it's the same as a car cigarette lighter. The only power outlets I know of that need a special plug/adaptor are on BMWs."
Will this part fit a 2000 kia Sportage 2 Liter?,Yes it should fit
Are these the 4 cabs or how many?,"No, it does not."
do i need front spools for my r6 when using these stand ?,no
how much tint will i need for  a 4 door 2007 chrysler sebring,Yes. The pump itself uses that type of connector so you will not need anything else.  Its a nice kit because it comes with an adaptor for a cigarette lighter and clip style connectors which would work directly to a battery. The pump is nice for maintaining tire pressure and I don't think it would be practical for flat tires because the unit needs to cool off for 25 minutes after 8 minutes of use. I'm going to get some CO2 cartridges in case I get a flat. I can then use this pump to dial in the proper pressure.
Does it work ok with iPhone 5,yes.  The only problem is the cord is only  a foot or two long so I got an extender that I keep with it.  I got it long enough to reach another bike or car if I needed it.
where is this radiator manufactured and what is the warrranty?,Yes it does.
Can you use on pas side,Indeed it does
will it work for the 323i model?,"Yes it comes with three different adapters, 3/8 npt among them."
Will this work with a 2011 Camry?,"No, this gauge only. Sending unit will need to purchased separately in the correct size for your system."
will they fit 97 gt convertible?,"yes however you may have to go to a hardware store to get a metric conversion fitting. I have used these on everything you can imagine by drilling and tapping a hole in the thermostat housing or any place you can get access to the radiator water flow. I have even used a piece of pipe the size that will fit in the radiator hose, drilling and tapping threads into the pipe and then cutting the hose and installing the pipe with two good hose clamps. Hope this helps."
Will this fit 2014 harley road king?,Yes as long as you have a manifold port for it to screw into.
Is there a strap to hold the bag in one place?,"The gauge is electronic and should work on any vehicle with a temperature sensor on the motor close to the intake, the power wires have to be hooked up properly but the temp sensing wire must go on the motor usually on the intake where coolant flows by it to get an accurate reading."
Will it fit the 2014 CRV EXl?,"Mine is red, never seen a purple one."
Does this product work for power mirrors?,"The needle is redish orange.    If looks are a concern, be forwarned the needle itself doesnt actually illuminate at night, like the needles on your car dash board typically do.  The light that shines through the numbers at night is the o ly thing that illuinates where the needle is, and for that reason I was dissatisfied with this guage and purchased a different one."
what kind of maintenance does this scooter require,"The needle is redish orange.    If looks are a concern, be forwarned the needle itself doesnt actually illuminate at night, like the needles on your car dash board typically do.  The light that shines through the numbers at night is the o ly thing that illuinates where the needle is, and for that reason I was dissatisfied with this guage and purchased a different one."
Will cover fit over side rear view mirrors?,Red
also have a undercover tonneau cover and the struts are worn out.  what will replace them.,"looking at the Equus web site, it shows 'red'. I doubt if purple is an option."
"hi, at 1000 rpm, how much amps it delivers?.",Red
Does this thing stick funny out if you're running the 5 inch windshield?  Seems all the pics show it mounted to the 7-12 inch shields.,it is one eighth inch NPT
These are genuine Motorcraft dg511?,One eighth inch NPT
